Slice,Count,Total Area,Average Size,%Area,Mean
208,10,2.436,0.244,15.256,255.000
209,13,2.590,0.199,16.222,255.000
210,14,2.569,0.184,16.089,255.000
211,11,2.416,0.220,15.129,255.000
212,11,2.517,0.229,15.764,255.000
213,8,2.019,0.252,12.645,255.000
214,7,3.392,0.485,21.240,255.000
215,8,3.039,0.380,19.030,255.000
216,10,3.033,0.303,18.996,255.000
217,7,1.909,0.273,11.954,255.000
218,12,1.855,0.155,11.619,255.000
219,11,1.747,0.159,10.942,255.000
220,10,1.690,0.169,10.585,255.000
221,11,1.667,0.152,10.438,255.000
222,9,1.776,0.197,11.121,255.000
223,7,1.775,0.254,11.115,255.000
224,7,2.332,0.333,14.601,255.000
225,9,2.262,0.251,14.163,255.000
226,12,3.032,0.253,18.986,255.000
227,10,2.266,0.227,14.188,255.000
228,12,2.392,0.199,14.976,255.000
229,16,3.207,0.200,20.085,255.000
230,12,2.757,0.230,17.264,255.000
231,6,1.560,0.260,9.768,255.000
232,10,1.823,0.182,11.415,255.000
233,12,2.900,0.242,18.161,255.000
234,13,2.747,0.211,17.202,255.000
235,14,2.642,0.189,16.544,255.000
236,15,2.554,0.170,15.994,255.000
237,15,2.763,0.184,17.304,255.000
238,13,2.904,0.223,18.183,255.000
239,14,2.846,0.203,17.825,255.000
240,11,2.831,0.257,17.726,255.000
241,7,2.081,0.297,13.034,255.000
242,13,2.790,0.215,17.470,255.000
243,12,2.812,0.234,17.611,255.000
244,10,3.474,0.347,21.754,255.000
245,9,3.478,0.386,21.780,255.000
246,16,3.510,0.219,21.982,255.000
247,14,2.489,0.178,15.585,255.000
248,15,2.272,0.151,14.228,255.000
249,10,1.489,0.149,9.321,255.000
250,13,1.458,0.112,9.129,255.000
251,14,2.790,0.199,17.474,255.000
252,14,2.808,0.201,17.585,255.000
253,11,2.478,0.225,15.520,255.000
254,10,2.564,0.256,16.056,255.000
255,10,2.582,0.258,16.167,255.000
256,13,3.039,0.234,19.030,255.000
257,10,2.690,0.269,16.843,255.000
258,10,2.753,0.275,17.242,255.000
259,10,3.487,0.349,21.837,255.000
260,13,3.485,0.268,21.823,255.000
261,11,3.585,0.326,22.450,255.000
262,11,3.738,0.340,23.409,255.000
263,9,2.722,0.302,17.046,255.000
264,8,2.693,0.337,16.865,255.000
265,12,3.631,0.303,22.740,255.000
266,9,2.482,0.276,15.544,255.000
267,6,1.602,0.267,10.034,255.000
